Run Num.,Best Fit Max,Best Fit Sorted,First Fit Max,First Fit Sorted,Worst Fit Max,Worst Fit Sorted,Allocable,Back Tracks
1,0,0,0,0,0,0,0,6996
2,0,0,0,0,0,0,0,1956
3,0,0,0,0,0,0,0,4476
4,0,0,0,0,0,0,0,6636
5,0,0,0,0,0,0,0,1956
6,0,0,0,0,0,0,0,1956
7,0,0,0,0,0,0,0,1956
8,0,0,0,0,0,0,0,1956
9,0,0,0,0,0,0,0,16596
10,0,0,0,0,0,0,0,1956
11,0,0,0,0,0,0,0,1956
12,0,0,0,0,0,0,0,10236
13,0,0,0,0,0,0,0,4476
14,0,0,0,0,0,0,0,9156
15,0,0,0,0,0,0,0,1956
16,0,0,0,0,0,0,0,1956
17,0,0,0,0,0,0,0,1956
18,0,0,0,0,0,0,0,1956
19,0,0,0,0,0,0,0,1956
20,0,0,0,0,0,0,0,26196
21,0,0,0,0,0,0,0,4836
22,0,0,0,0,0,0,0,9876
23,0,0,0,0,0,0,0,1956
24,0,0,0,0,0,0,0,21156
25,0,0,0,0,0,0,0,1956
26,0,0,0,0,0,0,0,4116
27,0,0,0,0,0,0,0,1956
28,0,0,0,0,0,0,0,5556
29,0,0,0,0,0,0,0,1956
30,0,0,0,0,0,0,0,3396
31,0,0,0,0,0,0,0,11826
32,0,0,0,0,0,0,0,1956
33,0,0,0,0,0,0,0,5556
34,0,0,0,0,0,0,0,2676
35,0,0,0,0,0,0,0,1956
36,0,0,0,0,0,0,0,1956
37,0,0,0,0,0,0,0,1956
38,0,0,0,0,0,0,0,1956
39,0,0,0,0,0,0,0,1956
40,0,0,0,0,0,0,0,1956
41,0,0,0,0,0,0,0,1956
42,0,0,0,0,0,0,0,3396
43,0,0,0,0,0,0,0,1956
44,0,0,0,0,0,0,0,1956
45,0,0,0,0,0,0,0,1956
46,0,0,0,0,0,0,0,1956
47,0,0,0,0,0,0,0,4476
48,0,0,0,0,0,0,0,2676
49,0,0,0,0,0,0,0,1956
50,0,0,0,0,0,0,0,3756
51,0,0,0,0,0,0,0,3396
52,0,0,0,0,0,0,0,3396
53,0,0,0,0,0,0,0,1956
54,0,0,0,0,0,0,0,2676
55,0,0,0,0,0,0,0,6276
56,0,0,0,0,0,0,0,5556
57,0,0,0,0,0,0,0,3396
58,0,0,0,0,0,0,0,4116
59,0,0,0,0,0,0,0,3396
60,0,0,0,0,0,0,0,4116
61,0,0,0,0,0,0,0,1956
62,0,0,0,0,0,0,0,3396
63,0,0,0,0,0,0,0,12036
64,0,0,0,0,0,0,0,1956
65,0,0,0,0,0,0,0,2676
66,0,0,0,0,0,0,0,6276
67,0,0,0,0,0,0,0,1956
68,0,0,0,0,0,0,0,1956
69,0,0,0,0,0,0,0,4116
70,0,0,0,0,0,0,0,1956
71,0,0,0,0,0,0,0,8796
72,0,0,0,0,0,0,0,1956
